RELEASETIME,LIFE_LOAN,ITEM_AMOUNT
2015-06-09,30,420000
2015-06-09,30,110000
2015-06-09,30,400000
2015-06-09,30,410000
2015-06-09,30,1260000
2015-06-09,30,120000
2015-06-09,30,2040000
2015-06-09,30,600000
2015-06-08,30,950000
2015-06-08,30,450000
2015-06-08,30,80000
2015-06-08,30,290000
2015-06-08,30,360000
2015-06-08,30,450000
2015-06-08,30,180000
2015-06-08,30,630000
2015-06-08,30,480000
2015-06-08,30,90000
2015-06-08,30,210000
2015-06-08,30,2780000
2015-06-08,30,4670000
2015-06-08,30,310000
2015-06-07,30,2210000
2015-06-07,30,90000
2015-06-07,30,60000
2015-06-07,30,80000
2015-06-06,30,250000
2015-06-06,30,100000
2015-06-06,30,4260000
2015-06-05,30,1050000
2015-06-05,30,1550000
2015-06-05,30,90000
2015-06-05,30,180000
2015-06-05,30,40000
2015-06-05,30,130000
2015-06-05,30,1050000
2015-06-05,30,2380000
2015-06-05,30,140000
2015-06-05,30,2550000
2015-06-05,30,110000
2015-06-05,30,650000
2015-06-05,30,60000
2015-06-05,30,650000
2015-06-05,30,160000
2015-06-05,30,650000
2015-06-05,30,60000
2015-06-05,30,70000
2015-06-05,30,450000
2015-06-05,30,3870000
2015-06-03,30,900000
2015-06-03,30,650000
2015-06-03,30,60000
2015-06-03,30,450000
2015-06-03,30,350000
2015-06-03,30,260000
2015-06-03,30,350000
2015-06-02,30,500000
2015-06-02,30,650000
2015-06-02,30,650000
2015-06-02,30,2350000
2015-06-02,30,420000
2015-06-02,30,1000000
2015-06-02,30,630000
2015-06-02,30,940000
2015-06-02,30,2180000
2015-06-02,30,50000
2015-06-02,30,450000
2015-06-01,30,80000
2015-06-01,30,190000
2015-06-01,30,420000
2015-06-01,30,170000
2015-06-01,30,4950000
2015-06-01,30,1000000
2015-06-01,30,6750000
2015-06-01,30,160000
2015-06-01,30,770000
2015-05-30,30,540000
2015-05-30,30,540000
2015-05-30,30,50000
2015-05-29,30,220000
2015-05-29,30,140000
2015-05-29,30,390000
2015-05-29,30,360000
2015-05-29,30,950000
2015-05-29,30,870000
2015-05-29,30,250000
2015-05-29,30,850000
2015-05-29,30,50000
2015-05-29,30,60000
2015-05-29,30,580000
2015-05-29,30,70000
2015-05-29,30,80000
2015-05-29,30,220000
2015-05-29,30,380000
2015-05-29,30,500000
2015-05-28,30,1200000
2015-05-28,30,550000
2015-05-28,30,180000
2015-05-28,30,1770000
2015-05-28,30,130000
2015-05-28,30,90000
2015-05-28,30,940000
2015-05-28,30,1150000
2015-05-28,30,1080000
2015-05-28,30,530000
2015-05-28,30,3240000
2015-05-28,30,450000
2015-05-28,30,530000
2015-05-28,30,530000
2015-05-28,30,1560000
2015-05-28,30,1040000
2015-05-28,30,1000000
2015-05-27,30,520000
2015-05-26,30,1560000
2015-05-26,30,90000
2015-05-26,30,940000
2015-05-26,30,90000
2015-05-26,30,2250000
2015-05-26,30,630000
2015-05-26,30,270000
2015-05-26,30,100000
2015-05-26,30,30000
2015-05-26,30,70000
