release time,life loan,ITEM_AMOUNT
2015-03-11,30,\N
2015-03-11,60,\N
2015-03-11,90,200000
2015-03-11,90,\N
2015-03-11,90,110000
2015-03-11,90,\N
2015-03-11,90,\N
2015-03-11,180,\N
2015-03-11,60,\N
2015-03-11,30,\N
2015-03-11,270,\N
2015-03-11,30,\N
2015-03-11,270,\N
2015-03-11,60,\N
2015-03-10,30,\N
2015-03-10,90,\N
2015-03-10,30,\N
2015-03-10,180,\N
2015-03-10,270,\N
2015-03-10,90,140000
2015-03-10,270,\N
2015-03-10,90,\N
2015-03-10,60,\N
2015-03-10,90,\N
2015-03-10,30,\N
2015-03-10,90,\N
2015-03-10,60,\N
2015-03-10,30,\N
2015-03-09,30,\N
2015-03-09,90,130000
2015-03-09,30,\N
2015-03-09,90,\N
2015-03-09,90,\N
2015-03-09,60,\N
2015-03-09,90,\N
2015-03-09,60,\N
2015-03-09,270,\N
2015-03-09,90,\N
2015-03-09,270,\N
2015-03-09,30,\N
2015-03-09,60,\N
2015-03-09,90,\N
2015-03-09,30,\N
2015-03-07,60,\N
2015-03-07,30,\N
2015-03-07,180,\N
2015-03-07,90,\N
2015-03-07,270,\N
2015-03-07,60,200000
2015-03-07,60,\N
2015-03-07,90,\N
2015-03-07,90,\N
2015-03-07,30,\N
2015-03-07,30,\N
2015-03-06,60,\N
2015-03-06,90,\N
2015-03-06,90,\N
2015-03-06,90,\N
2015-03-06,270,\N
2015-03-06,180,\N
2015-03-06,30,\N
2015-03-06,60,\N
2015-03-06,90,\N
2015-03-06,270,\N
2015-03-06,30,\N
2015-03-06,30,\N
2015-03-06,180,\N
2015-03-05,60,\N
2015-03-05,180,\N
2015-03-05,30,\N
2015-03-05,60,\N
2015-03-05,270,\N
2015-03-05,90,\N
2015-03-05,90,\N
2015-03-05,90,\N
2015-03-05,90,110000
2015-03-05,30,\N
2015-03-05,60,\N
2015-03-05,30,\N
2015-03-05,90,\N
2015-03-04,30,\N
2015-03-04,270,\N
2015-03-04,60,\N
2015-03-04,180,\N
2015-03-04,90,\N
2015-03-04,90,\N
2015-03-04,60,150000
2015-03-04,90,\N
2015-03-04,30,\N
2015-03-04,30,\N
2015-03-04,90,\N
2015-03-04,270,\N
2015-03-04,90,\N
2015-03-04,30,\N
2015-03-04,90,\N
2015-03-04,90,\N
2015-03-03,30,\N
2015-03-03,60,\N
2015-03-03,270,\N
2015-03-03,30,\N
2015-03-03,60,\N
2015-03-03,180,\N
2015-03-03,90,\N
2015-03-03,90,\N
2015-03-03,90,200000
2015-03-03,30,\N
2015-03-03,90,\N
2015-03-02,90,\N
2015-03-02,60,\N
2015-03-02,270,\N
2015-03-02,90,\N
2015-03-02,30,\N
2015-03-02,60,\N
2015-03-02,90,\N
2015-03-02,90,\N
2015-03-02,270,\N
2015-03-02,270,\N
2015-03-02,30,\N
2015-03-02,30,\N
2015-03-02,180,\N
2015-03-02,30,\N
2015-03-02,60,\N
2015-03-02,90,\N
2015-03-02,30,\N
2015-03-02,270,\N
2015-03-02,90,\N
2015-02-28,30,\N
2015-02-28,90,\N
2015-02-28,30,\N
2015-02-28,90,\N
2015-02-28,180,\N
2015-02-28,30,\N
2015-02-28,60,\N
2015-02-28,270,\N
2015-02-28,180,\N
2015-02-28,30,\N
2015-02-28,30,\N
2015-02-27,60,\N
2015-02-27,90,\N
2015-02-27,90,\N
2015-02-27,270,\N
2015-02-27,30,\N
2015-02-27,180,\N
2015-02-27,270,\N
2015-02-27,60,\N
2015-02-27,30,\N
2015-02-27,90,\N
2015-02-27,90,\N
2015-02-26,90,\N
2015-02-26,90,\N
2015-02-26,270,\N
2015-02-26,90,\N
2015-02-26,270,\N
2015-02-26,180,\N
2015-02-26,90,\N
2015-02-26,90,\N
2015-02-26,30,\N
2015-02-26,90,\N
2015-02-26,30,\N
2015-02-25,90,\N
2015-02-25,90,\N
2015-02-25,90,\N
2015-02-25,90,\N
2015-02-25,90,\N
2015-02-25,270,\N
2015-02-25,90,\N
2015-02-25,90,200000
2015-02-25,180,\N
2015-02-25,30,\N
2015-02-25,30,\N
2015-02-16,90,150000
