trading date,life loan,ITEM_AMOUNT
2015-07-13,30,43974.41
2015-07-13,90,34093.99
2015-07-13,30,51064.86
2015-07-13,30,21475.7
2015-07-13,180,20624.64
2015-07-12,180,37788.69
2015-07-13,90,30399.4
2015-07-13,180,22342.72
2015-07-13,90,36972.29
2015-07-11,30,80000
2015-07-13,30,88500
2015-07-13,30,28079.61
2015-07-13,30,47274.32
2015-07-11,30,160000
2015-07-13,30,38298.65
2015-07-13,30,36479.29
2015-07-12,90,49296.45
2015-07-12,30,36525.46
2015-07-12,90,43134.26
2015-07-11,180,34234.1
2015-07-11,30,52628.16
2015-07-12,14,54550.56
2015-07-12,30,58614.74
2015-07-11,30,54483.76
2015-07-11,180,34234.1
2015-07-11,90,46049.51
2015-07-11,90,46049.51
2015-07-10,90,48013.22
2015-07-11,30,52628.16
2015-07-11,30,53326.77
2015-07-10,90,59992.65
2015-07-11,30,90000
2015-07-11,30,68188.27
2015-07-11,90,36525.46
2015-07-10,14,20000
2015-07-11,30,66658.53
2015-07-11,30,66554.67
2015-07-11,30,55000
2015-07-11,30,66658.53
2015-07-10,180,50470.6
2015-07-10,30,110000
2015-07-10,30,76048.31
2015-07-10,30,66658.53
2015-07-10,30,66658.53
2015-07-10,14,62406.75
2015-07-09,90,44681.76
2015-07-10,30,62981.15
2015-07-10,180,45404.16
2015-07-10,180,45404.16
2015-07-10,30,75565.59
2015-07-09,30,47214.76
2015-07-09,180,44086.81
2015-07-10,30,64762.94
2015-07-08,30,180000
2015-07-09,30,49234.99
2015-07-09,14,14202.08
2015-07-09,14,78942.14
2015-07-07,360,16564.62
2015-07-09,30,49234.99
2015-07-08,90,47611.84
2015-07-09,180,49372.29
2015-07-09,30,45347.56
2015-07-08,14,13906.96
2015-07-09,180,49234.99
2015-07-08,180,36926.19
2015-07-08,90,49234.99
2015-07-09,30,93089.23
2015-07-09,30,51858.8
2015-07-08,30,47214.76
2015-07-08,30,54234.52
2015-07-07,14,13124.02
