DEADLINE,LIFE_LOAN,ITEM_AMOUNT,MONEY_RATE
2015-03-01,720,55600,16
2015-03-01,720,41700,16
2015-03-01,720,55600,16
2015-03-01,720,55600,16
2015-03-01,720,41700,16
2015-03-01,720,83400,16
2015-03-01,480,48300,16
2015-03-02,480,29000,16
2015-03-02,480,29400,16
2015-03-02,600,71500,16
2015-03-02,600,34200,16
2015-03-02,600,31600,16
2015-03-02,600,59600,16
2015-03-02,300,31400,16
2015-03-02,600,59600,16
2015-03-02,600,45600,16
2015-03-02,600,59600,16
2015-03-02,600,45600,16
2015-03-02,600,23100,16
2015-03-02,600,45600,16
2015-03-02,690,64200,16
2015-03-02,600,21100,16
2015-03-02,690,51300,16
2015-03-02,690,51300,16
2015-03-02,690,53700,16
2015-03-02,690,38400,16
2015-03-02,1050,64400,16
2015-03-02,540,21100,16
2015-03-02,690,38500,16
2015-03-03,1050,51500,16
2015-03-03,690,53700,16
2015-03-03,1050,51500,16
2015-03-03,690,102700,16
2015-03-03,600,34200,16
2015-03-03,600,23800,16
2015-03-03,600,34700,16
2015-03-03,690,51300,16
2015-03-03,690,51300,16
2015-03-03,960,72000,16
2015-03-03,600,22800,16
2015-03-03,720,49200,16
2015-03-03,690,107400,16
2015-03-03,1080,52600,16
2015-03-03,720,49200,16
2015-03-03,720,24600,16
2015-03-03,720,41700,16
2015-03-03,630,74600,16
2015-03-03,720,55600,16
2015-03-03,720,66500,16
2015-03-03,720,39900,16
2015-03-03,720,24600,16
2015-03-04,720,83400,16
2015-03-04,720,41700,16
2015-03-04,720,53200,16
2015-03-04,720,66500,16
2015-03-04,720,66500,16
2015-03-04,690,38500,16
2015-03-04,720,53200,16
2015-03-04,720,41700,16
2015-03-04,630,62100,16
2015-03-04,690,40200,16
2015-03-04,1050,77200,16
2015-03-04,570,34200,16
2015-03-04,720,111300,16
2015-03-04,570,40300,16
2015-03-04,540,31700,16
2015-03-04,630,23700,16
2015-03-04,720,39900,16
2015-03-04,1050,64400,16
2015-03-04,720,53200,16
2015-03-04,690,53700,16
2015-03-04,690,59400,16
2015-03-04,690,64200,16
2015-03-04,690,51300,16
2015-03-04,630,47500,16
2015-03-04,690,38500,16
2015-03-05,690,51300,16
2015-03-05,690,51300,16
2015-03-05,330,32600,16
2015-03-05,690,47500,16
2015-03-05,1050,64400,16
2015-03-05,690,53700,16
2015-03-05,600,35700,16
2015-03-05,600,71500,16
2015-03-05,540,43500,16
2015-03-05,1050,64400,16
2015-03-05,540,31200,16
2015-03-05,690,53700,16
2015-03-05,690,35600,16
2015-03-05,690,67100,16
2015-03-05,1050,64400,16
2015-03-05,510,41400,16
